alpha,target_coverage,empirical_coverage,mean_set_size,frac_singleton,frac_full_set
0.05,0.95,0.9491496008330441,2.1388406803193334,0.28653245400902466,0.031239153071850052
0.1,0.9,0.8979520999652898,1.7547726483859771,0.43040610898993403,0.0022561610551891705
0.15,0.85,0.8450190905935439,1.492537313432836,0.5673377299548767,0.0
0.2,0.8,0.7927802846233947,1.2851440472058313,0.7176327664005554,0.0
