iter	Passed	Remaining
339	13630	6414
340	13662	6370
341	13696	6327
342	13729	6284
343	13768	6243
344	13804	6201
345	13842	6161
346	13875	6117
347	13912	6076
348	13947	6034
349	13980	5991
350	14012	5948
351	14045	5905
352	14076	5861
353	14109	5819
354	14142	5776
355	14174	5733
356	14207	5691
357	14243	5649
358	14278	5607
359	14310	5565
360	14345	5523
361	14381	5482
362	14414	5440
363	14450	5398
364	14485	5357
365	14521	5316
366	14556	5275
367	14590	5233
368	14625	5192
369	14660	5150
370	14692	5108
371	14727	5067
372	14766	5027
373	14806	4988
374	14838	4946
375	14876	4906
376	14927	4870
377	14963	4829
378	14999	4788
379	15031	4746
380	15066	4705
381	15099	4664
382	15131	4622
383	15166	4581
384	15197	4539
385	15228	4497
386	15261	4456
387	15295	4415
388	15331	4374
389	15363	4333
390	15397	4292
391	15431	4251
392	15481	4215
393	15525	4176
394	15558	4135
395	15599	4096
396	15632	4055
397	15666	4015
398	15700	3974
399	15737	3934
400	15770	3893
401	15805	3853
402	15841	3812
403	15877	3772
404	15913	3732
405	15949	3692
406	15981	3651
407	16018	3611
408	16061	3573
409	16097	3533
410	16136	3494
411	16166	3452
412	16201	3412
413	16232	3371
414	16265	3331
415	16297	3290
416	16329	3250
417	16369	3211
418	16405	3171
419	16459	3135
420	16529	3101
421	16584	3065
422	16622	3025
423	16686	2991
424	16730	2952
425	16766	2912
426	16807	2873
427	16845	2833
428	16884	2794
429	16916	2753
430	16950	2713
431	16983	2673
432	17023	2634
433	17059	2594
434	17093	2554
435	17125	2513
436	17157	2473
437	17197	2434
438	17236	2395
439	17273	2355
440	17307	2315
441	17340	2275
442	17374	2235
443	17408	2195
444	17440	2155
445	17471	2115
446	17506	2075
447	17540	2035
448	17576	1996
449	17623	1958
450	17657	1918
451	17690	1878
452	17722	1838
453	17753	1798
454	17791	1759
455	17829	1720
456	17863	1680
457	17897	1641
458	17931	1601
459	17965	1562
460	18000	1522
461	18036	1483
462	18069	1444
463	18102	1404
464	18134	1364
465	18167	1325
466	18199	1286
467	18233	1246
468	18271	1207
469	18309	1168
470	18345	1129
471	18377	1090
472	18410	1050
473	18445	1011
474	18480	972
475	18515	933
476	18550	894
477	18581	855
478	18616	816
479	18650	777
480	18683	738
481	18716	698
482	18769	660
483	18814	621
484	18860	583
485	18895	544
486	18928	505
487	18961	466
488	18994	427
489	19029	388
490	19062	349
491	19104	310
492	19151	271
493	19195	233
494	19231	194
495	19266	155
496	19301	116
497	19334	77
498	19367	38
499	19401	0
