iter	MultiClass
356	0.7782853577
357	0.7780119905
358	0.7776721814
359	0.7773360035
360	0.7767498402
361	0.7762378533
362	0.7760263556
363	0.7754965827
364	0.7752417136
365	0.7749199045
366	0.7745090924
367	0.7741854337
368	0.7736550198
369	0.7734721615
370	0.7732148455
371	0.7729890293
372	0.7727768965
373	0.7724677651
374	0.7722242184
375	0.7720464005
376	0.771735973
377	0.7713745862
378	0.7710226914
379	0.7707971278
380	0.7703879362
381	0.7700296309
382	0.7696079742
383	0.7694783772
384	0.7691739598
385	0.7688372912
386	0.7685318079
387	0.7683649295
388	0.7679676169
389	0.7676932219
390	0.7672536788
391	0.7668966114
392	0.7668036499
393	0.7664429287
394	0.766195426
395	0.7659522643
396	0.7654720627
397	0.7649523153
398	0.7646771001
399	0.7644606181
400	0.7641043428
401	0.7637639997
402	0.7635508155
403	0.7629850487
404	0.7624409077
405	0.7622581819
406	0.7620917586
407	0.7616935825
408	0.7611549765
409	0.7609611343
410	0.7606389972
411	0.7604986767
412	0.7602324692
413	0.7599839418
414	0.7595260471
415	0.7592688543
416	0.7589828896
417	0.7585185725
418	0.7580803342
419	0.7578560178
420	0.7575219624
421	0.7573836219
422	0.7570425636
423	0.7568618437
424	0.7564453332
425	0.7561247348
426	0.7558711719
427	0.755686903
428	0.7553069579
429	0.7550192666
430	0.7547018482
431	0.7543602117
432	0.7540838354
433	0.7537632087
434	0.7534831778
435	0.753246603
436	0.7530574543
437	0.7528567121
438	0.7524392045
439	0.7520320969
440	0.7516822472
441	0.7513469899
442	0.7511820661
443	0.7508782038
444	0.7505996797
445	0.7505694711
446	0.7502319737
447	0.7499472643
448	0.7493894544
449	0.7491871713
450	0.7487133512
451	0.7483325617
452	0.7481777581
453	0.7479927188
454	0.7475703132
455	0.7473092399
456	0.7470668598
457	0.7468386887
458	0.7466909216
459	0.746472426
460	0.7462359291
461	0.7459805484
462	0.7455971979
463	0.7451675433
464	0.7450901825
465	0.7447573812
466	0.744621293
467	0.7442673992
468	0.7439791944
469	0.7436010885
470	0.7432506603
471	0.7428789861
472	0.7426224673
473	0.7422825841
474	0.7422055968
475	0.7418798075
476	0.741433509
477	0.7410911033
478	0.7407337837
479	0.7402365931
480	0.740064289
481	0.7398160332
482	0.739584645
483	0.7392734386
484	0.7387756453
485	0.7385301146
486	0.7381252771
487	0.7377619147
488	0.7374564498
489	0.737110711
490	0.7367637101
491	0.7363926608
492	0.7361701497
493	0.7358841695
494	0.7354843444
495	0.7352177036
496	0.7350442123
497	0.7346828455
498	0.7343855431
499	0.7339414114
